Block Name,Point ID,vtkOriginalPointIds,alphat,div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus
Airfoil,85,85,6.44491e-12,-3.80634e-07,2.51681e-07,0,0,0,0,0,5.48135e-12,23630,1.0001,0.430596,0.0536387,1,1.09009,0.99942,1.00063,0,0,0,0,0.578928
Airfoil,86,86,6.4064e-12,-3.76565e-07,2.48974e-07,0,0,0,0,0,5.44859e-12,23555.3,1.0001,0.440276,0.0536689,0,0.443535,0.999422,1.00063,0,0,0,0,0.577793
Airfoil,87,87,6.4064e-12,-3.76565e-07,2.48974e-07,0,0,0,0,0,5.44859e-12,23555.3,1.0001,0.440276,0.0536689,1,1.09395,0.999422,1.00063,0,0,0,0,0.577793
Airfoil,88,88,6.3732e-12,-3.75551e-07,2.46472e-07,0,0,0,0,0,5.42034e-12,23474.1,1.0001,0.449955,0.053699,0,0.453148,0.999424,1.00063,0,0,0,0,0.576808
Airfoil,89,89,6.3732e-12,-3.75551e-07,2.46472e-07,0,0,0,0,0,5.42034e-12,23474.1,1.0001,0.449955,0.053699,1,1.09788,0.999424,1.00063,0,0,0,0,0.576808
Airfoil,90,90,6.30282e-12,-3.72832e-07,2.42134e-07,0,0,0,0,0,5.36047e-12,23388.5,1.00011,0.459635,0.0536883,0,0.46276,0.999427,1.00063,0,0,0,0,0.574709
Airfoil,91,91,6.30282e-12,-3.72832e-07,2.42134e-07,0,0,0,0,0,5.36047e-12,23388.5,1.00011,0.459635,0.0536883,1,1.10188,0.999427,1.00063,0,0,0,0,0.574709
Airfoil,92,92,6.25507e-12,-3.75126e-07,2.38806e-07,0,0,0,0,0,5.31981e-12,23292.4,1.00012,0.469314,0.0536757,0,0.472374,0.999436,1.00063,0,0,0,0,0.57328
Airfoil,93,93,6.25507e-12,-3.75126e-07,2.38806e-07,0,0,0,0,0,5.31981e-12,23292.4,1.00012,0.469314,0.0536757,1,1.10596,0.999436,1.00063,0,0,0,0,0.57328
Airfoil,94,94,6.20979e-12,-3.69909e-07,2.35598e-07,0,0,0,0,0,5.28128e-12,23192.6,1.00012,0.478994,0.0536299,0,0.481987,0.999441,1.00063,0,0,0,0,0.571913
Airfoil,95,95,6.20979e-12,-3.69909e-07,2.35598e-07,0,0,0,0,0,5.28128e-12,23192.6,1.00012,0.478994,0.0536299,1,1.1101,0.999441,1.00063,0,0,0,0,0.571913
Airfoil,96,96,6.17784e-12,-3.72672e-07,2.32959e-07,0,0,0,0,0,5.25405e-12,23084.3,1.00014,0.488673,0.0535807,0,0.491602,0.999451,1.00063,0,0,0,0,0.570948
Airfoil,97,97,6.17784e-12,-3.72672e-07,2.32959e-07,0,0,0,0,0,5.25405e-12,23084.3,1.00014,0.488673,0.0535807,1,1.1143,0.999451,1.00063,0,0,0,0,0.570948
Airfoil,98,98,6.17747e-12,-3.62462e-07,2.31816e-07,0,0,0,0,0,5.2537e-12,22973.1,1.00014,0.498352,0.0535076,0,0.501217,0.999457,1.00063,0,0,0,0,0.570936
Airfoil,99,99,6.17747e-12,-3.62462e-07,2.31816e-07,0,0,0,0,0,5.2537e-12,22973.1,1.00014,0.498352,0.0535076,1,1.11858,0.999457,1.00063,0,0,0,0,0.570936
Airfoil,100,100,6.17084e-12,-3.59739e-07,2.30336e-07,0,0,0,0,0,5.24802e-12,22857.1,1.00015,0.508032,0.0534304,0,0.510834,0.999465,1.00063,0,0,0,0,0.570735
Airfoil,101,101,6.17084e-12,-3.59739e-07,2.30336e-07,0,0,0,0,0,5.24802e-12,22857.1,1.00015,0.508032,0.0534304,1,1.12292,0.999465,1.00063,0,0,0,0,0.570735
Airfoil,102,102,6.17733e-12,-3.51311e-07,2.29452e-07,0,0,0,0,0,5.25351e-12,22738.4,1.00016,0.517711,0.0533306,0,0.52045,0.999472,1.00063,0,0,0,0,0.570932
Airfoil,103,103,6.17733e-12,-3.51311e-07,2.29452e-07,0,0,0,0,0,5.25351e-12,22738.4,1.00016,0.517711,0.0533306,1,1.12733,0.999472,1.00063,0,0,0,0,0.570932
Airfoil,104,104,6.17209e-12,-3.47472e-07,2.27974e-07,0,0,0,0,0,5.24901e-12,22615.3,1.00017,0.52739,0.0532253,0,0.530069,0.999478,1.00064,0,0,0,0,0.570773
Airfoil,105,105,6.17209e-12,-3.47472e-07,2.27974e-07,0,0,0,0,0,5.24901e-12,22615.3,1.00017,0.52739,0.0532253,1,1.1318,0.999478,1.00064,0,0,0,0,0.570773
Airfoil,106,106,6.14398e-12,-3.35814e-07,2.25401e-07,0,0,0,0,0,5.22507e-12,22488.6,1.00018,0.537068,0.0530924,0,0.539686,0.999485,1.00064,0,0,0,0,0.569918
Airfoil,107,107,6.14398e-12,-3.35814e-07,2.25401e-07,0,0,0,0,0,5.22507e-12,22488.6,1.00018,0.537068,0.0530924,1,1.13634,0.999485,1.00064,0,0,0,0,0.569918
Airfoil,108,108,6.10999e-12,-3.29994e-07,2.22508e-07,0,0,0,0,0,5.19612e-12,22356.1,1.00019,0.546747,0.0529503,0,0.549305,0.999495,1.00064,0,0,0,0,0.568882
Airfoil,109,109,6.10999e-12,-3.29994e-07,2.22508e-07,0,0,0,0,0,5.19612e-12,22356.1,1.00019,0.546747,0.0529503,1,1.14094,0.999495,1.00064,0,0,0,0,0.568882
Airfoil,110,110,6.04892e-12,-3.21701e-07,2.18358e-07,0,0,0,0,0,5.14413e-12,22218.9,1.0002,0.556425,0.0527781,0,0.558922,0.999505,1.00064,0,0,0,0,0.567007
Airfoil,111,111,6.04892e-12,-3.21701e-07,2.18358e-07,0,0,0,0,0,5.14413e-12,22218.9,1.0002,0.556425,0.0527781,1,1.1456,0.999505,1.00064,0,0,0,0,0.567007
Airfoil,112,112,5.99105e-12,-3.18894e-07,2.14327e-07,0,0,0,0,0,5.09484e-12,22076.3,1.00022,0.566103,0.0525931,0,0.568541,0.99952,1.00064,0,0,0,0,0.565224
Airfoil,113,113,5.99105e-12,-3.18894e-07,2.14327e-07,0,0,0,0,0,5.09484e-12,22076.3,1.00022,0.566103,0.0525931,1,1.15032,0.99952,1.00064,0,0,0,0,0.565224
Airfoil,114,114,5.94047e-12,-3.07982e-07,2.10634e-07,0,0,0,0,0,5.05176e-12,21929.7,1.00024,0.57578,0.0523837,0,0.578158,0.999533,1.00065,0,0,0,0,0.563651
Airfoil,115,115,5.94047e-12,-3.07982e-07,2.10634e-07,0,0,0,0,0,5.05176e-12,21929.7,1.00024,0.57578,0.0523837,1,1.1551,0.999533,1.00065,0,0,0,0,0.563651
Airfoil,116,116,5.89357e-12,-3.03303e-07,2.07101e-07,0,0,0,0,0,5.01179e-12,21779.8,1.00026,0.585457,0.0521618,0,0.587776,0.99955,1.00065,0,0,0,0,0.562188
Airfoil,117,117,5.89357e-12,-3.03303e-07,2.07101e-07,0,0,0,0,0,5.01179e-12,21779.8,1.00026,0.585457,0.0521618,1,1.15995,0.99955,1.00065,0,0,0,0,0.562188
Airfoil,118,118,5.87205e-12,-2.91073e-07,2.04701e-07,0,0,0,0,0,4.99342e-12,21627.6,1.00027,0.595134,0.0519222,0,0.597394,0.999565,1.00065,0,0,0,0,0.561514
Airfoil,119,119,5.87205e-12,-2.91073e-07,2.04701e-07,0,0,0,0,0,4.99342e-12,21627.6,1.00027,0.595134,0.0519222,1,1.16485,0.999565,1.00065,0,0,0,0,0.561514
Airfoil,120,120,5.84812e-12,-2.82676e-07,2.02188e-07,0,0,0,0,0,4.97299e-12,21472.7,1.00029,0.60481,0.0516725,0,0.607013,0.999581,1.00066,0,0,0,0,0.560761
Airfoil,121,121,5.84812e-12,-2.82676e-07,2.02188e-07,0,0,0,0,0,4.97299e-12,21472.7,1.00029,0.60481,0.0516725,1,1.16981,0.999581,1.00066,0,0,0,0,0.560761
Airfoil,122,122,5.83419e-12,-2.68964e-07,2.00099e-07,0,0,0,0,0,4.96106e-12,21315.5,1.00031,0.614486,0.0514059,0,0.616633,0.999597,1.00066,0,0,0,0,0.560322
Airfoil,123,123,5.83419e-12,-2.68964e-07,2.00099e-07,0,0,0,0,0,4.96106e-12,21315.5,1.00031,0.614486,0.0514059,1,1.17483,0.999597,1.00066,0,0,0,0,0.560322
Airfoil,124,124,5.80628e-12,-2.58365e-07,1.97382e-07,0,0,0,0,0,4.93725e-12,21154,1.00033,0.624162,0.051129,0,0.626252,0.999612,1.00066,0,0,0,0,0.559439
Airfoil,125,125,5.80628e-12,-2.58365e-07,1.97382e-07,0,0,0,0,0,4.93725e-12,21154,1.00033,0.624162,0.051129,1,1.17991,0.999612,1.00066,0,0,0,0,0.559439
Airfoil,126,126,5.76164e-12,-2.4598e-07,1.93926e-07,0,0,0,0,0,4.89921e-12,20988.7,1.00035,0.633837,0.0508299,0,0.635871,0.999629,1.00067,0,0,0,0,0.558024
Airfoil,127,127,5.76164e-12,-2.4598e-07,1.93926e-07,0,0,0,0,0,4.89921e-12,20988.7,1.00035,0.633837,0.0508299,1,1.18505,0.999629,1.00067,0,0,0,0,0.558024
Airfoil,128,128,5.69383e-12,-2.40304e-07,1.89479e-07,0,0,0,0,0,4.84146e-12,20817.5,1.00038,0.643511,0.0505174,0,0.645491,0.999647,1.00067,0,0,0,0,0.555855
