# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
202             	4.43424405e-02	2.64134329e-01	-2.19791889e-01	-4.83926218e-01	-1.53285502e-02	-4.68597668e-01	2.26634559e-01	2.41963109e-01	2.21712202e-02	1.59624917e-19	2.21712202e-02	-2.21712202e-02
203             	4.44194828e-02	2.64409500e-01	-2.19990017e-01	-4.84399516e-01	-1.55779828e-02	-4.68821533e-01	2.26621775e-01	2.42199758e-01	2.22097414e-02	1.59646351e-19	2.22097414e-02	-2.22097414e-02
204             	4.43017608e-02	2.64787041e-01	-2.20485281e-01	-4.85272322e-01	-1.56304422e-02	-4.69641880e-01	2.27005719e-01	2.42636161e-01	2.21508804e-02	1.59631461e-19	2.21508804e-02	-2.21508804e-02
205             	4.44075270e-02	2.65088178e-01	-2.20680651e-01	-4.85768828e-01	-1.58519325e-02	-4.69916896e-01	2.27032482e-01	2.42884414e-01	2.22037635e-02	1.59641145e-19	2.22037635e-02	-2.22037635e-02
206             	4.42673066e-02	2.65430531e-01	-2.21163225e-01	-4.86593756e-01	-1.59345478e-02	-4.70659208e-01	2.27362330e-01	2.43296878e-01	2.21336533e-02	1.59639015e-19	2.21336533e-02	-2.21336533e-02
207             	4.43892536e-02	2.65762606e-01	-2.21373353e-01	-4.87135959e-01	-1.61238976e-02	-4.71012061e-01	2.27444082e-01	2.43567979e-01	2.21946268e-02	1.59636368e-19	2.21946268e-02	-2.21946268e-02
208             	4.42401620e-02	2.66068782e-01	-2.21828620e-01	-4.87897403e-01	-1.62399877e-02	-4.71657415e-01	2.27708714e-01	2.43948701e-01	2.21200810e-02	1.59646767e-19	2.21200810e-02	-2.21200810e-02
209             	4.43643850e-02	2.66429164e-01	-2.22064779e-01	-4.88493943e-01	-1.63949458e-02	-4.72098998e-01	2.27852026e-01	2.44246972e-01	2.21821925e-02	1.59632490e-19	2.21821925e-02	-2.21821925e-02
210             	4.42202037e-02	2.66703210e-01	-2.22483006e-01	-4.89186216e-01	-1.65446295e-02	-4.72641586e-01	2.28048478e-01	2.44593108e-01	2.21101019e-02	1.59654202e-19	2.21101019e-02	-2.21101019e-02
211             	4.43331068e-02	2.67085986e-01	-2.22752879e-01	-4.89838865e-01	-1.66656628e-02	-4.73173202e-01	2.28253770e-01	2.44919432e-01	2.21665534e-02	1.59630120e-19	2.21665534e-02	-2.21665534e-02
212             	4.42066117e-02	2.67335061e-01	-2.23128449e-01	-4.90463511e-01	-1.68468114e-02	-4.73616699e-01	2.28384944e-01	2.45231755e-01	2.21033059e-02	1.59660245e-19	2.21033059e-02	-2.21033059e-02
213             	4.42960613e-02	2.67732477e-01	-2.23436416e-01	-4.91168892e-01	-1.69377475e-02	-4.74231145e-01	2.28646699e-01	2.45584446e-01	2.21480307e-02	1.59629426e-19	2.21480307e-02	-2.21480307e-02
214             	4.41980073e-02	2.67965428e-01	-2.23767420e-01	-4.91732848e-01	-1.71457183e-02	-4.74587130e-01	2.28720706e-01	2.45866424e-01	2.20990037e-02	1.59664568e-19	2.20990037e-02	-2.20990037e-02
215             	4.42541514e-02	2.68366484e-01	-2.24112333e-01	-4.92478817e-01	-1.72130267e-02	-4.75265791e-01	2.29026382e-01	2.46239409e-01	2.21270757e-02	1.59630356e-19	2.21270757e-02	-2.21270757e-02
216             	4.41930648e-02	2.68595895e-01	-2.24402830e-01	-4.92998725e-01	-1.74396472e-02	-4.75559078e-01	2.29059715e-01	2.46499363e-01	2.20965324e-02	1.59667152e-19	2.20965324e-02	-2.20965324e-02
217             	4.42104826e-02	2.68992597e-01	-2.24782114e-01	-4.93774711e-01	-1.74925006e-02	-4.76282211e-01	2.29394855e-01	2.46887356e-01	2.21052413e-02	1.59633146e-19	2.21052413e-02	-2.21052413e-02
218             	4.41890168e-02	2.69225816e-01	-2.25036799e-01	-4.94262615e-01	-1.77280852e-02	-4.76534530e-01	2.29403223e-01	2.47131308e-01	2.20945084e-02	1.59667881e-19	2.20945084e-02	-2.20945084e-02
219             	4.41674222e-02	2.69612603e-01	-2.25445181e-01	-4.95057784e-01	-1.77763007e-02	-4.77281483e-01	2.29752591e-01	2.47528892e-01	2.20837111e-02	1.59637585e-19	2.20837111e-02	-2.20837111e-02
220             	4.41835829e-02	2.69853055e-01	-2.25669472e-01	-4.95522527e-01	-1.80108137e-02	-4.77511714e-01	2.29750450e-01	2.47761264e-01	2.20917915e-02	1.59667200e-19	2.20917915e-02	-2.20917915e-02
221             	4.41281623e-02	2.70227083e-01	-2.26098920e-01	-4.96326003e-01	-1.80648999e-02	-4.78261103e-01	2.30098101e-01	2.48163001e-01	2.20640812e-02	1.59643985e-19	2.20640812e-02	-2.20640812e-02
222             	4.41724829e-02	2.70469229e-01	-2.26296746e-01	-4.96765976e-01	-1.82863087e-02	-4.78479667e-01	2.30096679e-01	2.48382988e-01	2.20862414e-02	1.59664833e-19	2.20862414e-02	-2.20862414e-02
223             	4.40937789e-02	2.70842794e-01	-2.26749016e-01	-4.97591810e-01	-1.83557766e-02	-4.79236033e-01	2.30440128e-01	2.48795905e-01	2.20468894e-02	1.59651285e-19	2.20468894e-02	-2.20468894e-02
