# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
103             	6.12806313e-02	-3.51636375e-01	4.12917006e-01	-7.64553381e-01	-1.05948450e-01	-6.58604931e-01	2.76328241e-01	-3.82276690e-01	-3.06403157e-02	-1.87622042e-20	-3.06403157e-02	3.06403157e-02
104             	6.14217779e-02	-3.52450425e-01	4.13872203e-01	-7.66322627e-01	-1.05475256e-01	-6.60847372e-01	2.77686058e-01	-3.83161314e-01	-3.07108890e-02	-1.87856565e-20	-3.07108890e-02	3.07108890e-02
105             	6.18037798e-02	-3.54012832e-01	4.15816612e-01	-7.69829445e-01	-1.04692646e-01	-6.65136798e-01	2.80222076e-01	-3.84914722e-01	-3.09018899e-02	-1.87992428e-20	-3.09018899e-02	3.09018899e-02
106             	6.20287787e-02	-3.54977328e-01	4.17006107e-01	-7.71983435e-01	-1.04204265e-01	-6.67779170e-01	2.81787452e-01	-3.85991718e-01	-3.10143894e-02	-1.88069532e-20	-3.10143894e-02	3.10143894e-02
107             	6.20931400e-02	-3.55430255e-01	4.17523395e-01	-7.72953651e-01	-1.03975720e-01	-6.68977931e-01	2.82501105e-01	-3.86476825e-01	-3.10465700e-02	-1.88168215e-20	-3.10465700e-02	3.10465700e-02
108             	6.20933525e-02	-3.55735439e-01	4.17828792e-01	-7.73564231e-01	-1.03832049e-01	-6.69732182e-01	2.82950067e-01	-3.86782116e-01	-3.10466762e-02	-1.88295683e-20	-3.10466762e-02	3.10466762e-02
109             	6.20786300e-02	-3.56060658e-01	4.18139288e-01	-7.74199947e-01	-1.03669018e-01	-6.70530929e-01	2.83430955e-01	-3.87099973e-01	-3.10393150e-02	-1.88442260e-20	-3.10393150e-02	3.10393150e-02
110             	6.21289553e-02	-3.56689311e-01	4.18818267e-01	-7.75507578e-01	-1.03340366e-01	-6.72167213e-01	2.84413424e-01	-3.87753789e-01	-3.10644777e-02	-1.88591311e-20	-3.10644777e-02	3.10644777e-02
111             	6.24260175e-02	-3.58141603e-01	4.20567620e-01	-7.78709223e-01	-1.02632555e-01	-6.76076668e-01	2.86722056e-01	-3.89354612e-01	-3.12130087e-02	-1.88752965e-20	-3.12130087e-02	3.12130087e-02
112             	6.26099056e-02	-3.59032618e-01	4.21642523e-01	-7.80675141e-01	-1.02155071e-01	-6.78520069e-01	2.88182499e-01	-3.90337570e-01	-3.13049528e-02	-1.88917170e-20	-3.13049528e-02	3.13049528e-02
